"NOME","ID","Categoria","Dieta_Vegetariana","Dieta_Vegana","Dieta_Sem_glúten","Dieta_Sem_lactose","Quem_fazia","Fonte","Memórias","Trabalho","Tempo_preparo","Rendimento","Dicas_&_Variações","Rendimento_outras_porcoes","Adaptacao_por","Preparo","Responsável_teste","Avaliação_teste","Dúvidas_teste","Arquivo_foto","Tempo_preparo_unidade","Tempo_preparo_string","memoria_string","dicas_string","fonte_string","rendimento_string"
"Geléia de Morango","id_0001","Geléias e Compotas","Sim","Sim","Sim","Sim","Vó Martha","Vó Martha","Torrada com geléia e manteiga na casa da vó","Pouco trabalhoso",1,"4 porções","Fazer em grande quantidade pois é uma delícia",NA,NA,"Cortar os morangos em rodelas e levar ao fogo com o açúcar. Mexer constantemente e deixar cozinhar até encorpar.",NA,NA,NA,NA,"hora","Tempo de preparo de  1 hora","Torrada com geléia e manteiga na casa da vó","**Dicas:** Fazer em grande quantidade pois é uma delícia","**Fonte:** Vó Martha","**Rendimento:** 4 porções"
"Biscoitinhos de Cerveja do Natal","id_0002","Biscoitos","Sim","Não","Não","Não","Tia Elisa","Tio Valério","> ""Eu gosto mais daqueles que ficam mais escuros, mas isto é preferência individual"" Tio Valerio > ""Todas as famílias saiam do Natal com suas preciosas latinhas, decoradas pela Tia Elisa com papel de presente e forradas com papel manteiga. Era um jeito de levar o Natal para casa"" Julia
","Trabalhoso",3,"Para cada lata (porção familiar do Natal), entre 250 e 300g de farinha","Fazer com alguns dias de antecedência e guardar em um pote hermético.",NA,NA,"@Original: amassa-se tudo muito bem, fazem-se então rolinhos de um dedo de espessura, e cortam-se os mesmos em pedaços bem miúdos. Passa-se açúcar cristal e assa-se em forno bem temperado;
@Adaptada: Misturar os ingredientes secos, adicionar a manteiga gelada em cubos e, com as pontas dos dedos, misturar até ficar na consistência de uma farofa grossa. Adicionar a cerveja e misturar o mínimo necessário para ter uma bola de massa homogênea. Refrigerar por pelo menos 30 minutos e enquanto isso, preaquecer forno a 210ºC . Fazer rolinhos finos, na espessura do dedo mindinho e cortá-los (tesoura foi o que funcionou melhor) em pedaços bem miúdos, de mais ou menos 0,5 cm. Mergulhar os pedacinhos no açúcar cristal, tirar o excesso com um escorredor de macarrão (furos grandes), espalhar bem na forma e assar por 15 minutos a 210ºC.
","Julia","Nos testes percebi que a quantidade original de cerveja deixa a massa hidratada demais, a ponto de não conseguir fazer as cobrinhas. Nossas farinhas devem ter piorado muito. O ideal é trabalhar com 75% da quantidade de cerveja. Heineken vai bem.",NA,NA,"horas","Tempo de preparo de  3 horas","



     ""Eu gosto mais daqueles que ficam mais escuros, mas isto é preferência individual"" Tio Valerio 



     ""Todas as famílias saiam do Natal com suas preciosas latinhas, decoradas pela Tia Elisa com papel de presente e forradas com papel manteiga. Era um jeito de levar o Natal para casa"" Julia
","**Dicas:** Fazer com alguns dias de antecedência e guardar em um pote hermético.","**Fonte:** Tio Valério","**Rendimento:** Para cada lata (porção familiar do Natal), entre 250 e 300g de farinha"
"Torta Bilbolbul","id_0003","Tortas e Bolos doces","Sim","Não","Não","Não","Vó Martha","Il Talismano della Felicità","""Era um dos bolos preferidos do vovô Guido. Não precisava de prato nem talheres""","Nada trabalhoso",NA,"6 porções - Fazer em forma alta de aproximadamente 20 cm de diâmetro","Servir com creme de leite batido",NA,NA,"Untar, enfarinhar a forma e prequecer forno (Talismano diz ""bem quente""). Numa tigela, misturar todos os ingredientes secos e as raspas casca de laranja. Incorporar o leite à mistura, mexendo com uma colher de pau apenas o necessário para obter uma massa lisa e homogênea. A massa não pode ser muito trabalhada. Colocar a massa na forma untada e assar em forno alto por mais ou 30 minutos. Deve ser retirada do forno quando ainda não estiver dura ou seca.
","Sofia",NA,"- Qual temperatura usa normalmente?
- Como ver se já está no ponto de tirar? Que teste pode ser feito? Meio tem que estar molinho?",NA,NA,"","""Era um dos bolos preferidos do vovô Guido. Não precisava de prato nem talheres""","**Dicas:** Servir com creme de leite batido","**Fonte:** Il Talismano della Felicità","**Rendimento:** 6 porções - Fazer em forma alta de aproximadamente 20 cm de diâmetro"
"Sufle/Souffle de Milho Verde","id_0004","Outros pratos salgados","Sim","Não","Sim","Não","Vó Martha e Carmen","Ficheiros de Receitas de Carmen e Martha",NA,"Nada trabalhoso",NA,"Porções para 4 e 20 pessoas","Vovó Martha servia com escalopinho de filé mignon, com molho de vinho",NA,NA,"Escorrer o milho e refogar na manteiga. Adicionar o leite, o açúcar e deixe esfriar. Adicionar os ovos batidos, colocar em uma travessa untada e levar ao forno. Assar a xºC, até endurecer. Deve ficar úmido. Não assar demais para não secar. ",NA,NA,"- Qual o peso das latas de milho? Incluir peso na receita
-  Qual a temperatura? Assar por quanto tempo? 
","sufle.png",NA,"","","**Dicas:** Vovó Martha servia com escalopinho de filé mignon, com molho de vinho","**Fonte:** Ficheiros de Receitas de Carmen e Martha","**Rendimento:** Porções para 4 e 20 pessoas"
"Crostata di Ricotta","id_0005","Tortas e Bolos doces","Sim","Não","Não","Não","Vó Martha","Ficheiro de Receitas de Martha & Il Talismano della Felicità",NA,"Trabalhoso",NA,NA,NA,NA,NA,"@Massa: amassar a manteiga com as raspas de limão. Adicionar a farinha e a fécula e misturar até formar uma massa homogênea. Formar uma bola e deixar descansar em lugar fresco (de preferência na geladeira) por, pelo menos, meia hora;
@Creme de confeiteiro: em uma tigela misturar bem as gemas com o açúcar e incorporar a farinha. Levar o leite com a baunilha ao fogo e quando estiver próximo de ferver, tirar do fogo e ""temperar""a mistura de ovos, colocando o leite quente bem aos poucos, mexendo vigorosamente com um fouet a cada adição para impedir que as gemas cozinhem. Assim que o leite estiver completamente incorporado, voltar mistura de ovos e leite para panela e levar ao fogo baixo, mexendo constantemente, até mistura engrossar. Reservar e deixar esfriar em temperatura ambiente;
@Creme de ricota: enquanto creme de confeiteiro esfria, preparar a mistura de ricota e frutas. Amassar bem a ricota e misturar com as gemas de ovo, o açúcar e a canela. Quando mistura estiver homogênea - ricota não pode ficar pedaçuda -, adicionar o creme de confeiteiro já frio e as frutas cristalizadas picadas. À esta mistura, adicionar em três etapas as claras em neve, misturando com cuidado para não perder o ar;
Preaquecer o forno;
Reservar 1/3 da massa para a decoração. Abrir os 2/3 de massa com poucos milímetros de espessura, forrar a forma, verter o creme de ricota. Abrir a massa que reservou, cortar em tiras e colocar sobre o recheio formando uma espécie de grade sobre ele. Assar em forno alto e preaquecido por aproximadamente 30 minutos. Espere esfriar, desenforme e sirva com açúcar de confeiteiro polvilhado.",NA,NA,NA,NA,NA,"","","","**Fonte:** Ficheiro de Receitas de Martha & Il Talismano della Felicità",""
NA,NA,NA,"Não","Não","Não","Não",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",""
NA,NA,NA,"Não","Não","Não","Não",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",""
NA,NA,NA,"Não","Não","Não","Não",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",""
NA,NA,NA,"Não","Não","Não","Não",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",""
NA,NA,NA,"Não","Não","Não","Não",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",""
NA,NA,NA,"Não","Não","Não","Não",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",""
NA,NA,NA,"Não","Não","Não","Não",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",""
NA,NA,NA,"Não","Não","Não","Não",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",""
NA,NA,NA,"Não","Não","Não","Não",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",""
